	classified_sentiment
0	0
1	2
2	2
3	2
4	2
5	0
6	2
7	2
8	2
9	2
10	2
11	1
12	2
13	2
14	2
15	1
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	0
28	2
29	2
30	2
31	1
32	2
33	0
34	0
35	2
36	0
37	2
38	0
39	0
40	2
41	0
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	2
57	0
58	2
59	2
60	1
61	0
62	2
63	0
64	2
65	2
66	2
67	2
68	2
69	2
70	1
71	2
72	2
73	2
74	0
75	0
76	2
77	2
78	2
79	2
80	0
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	1
89	2
90	0
91	2
92	0
93	2
94	1
95	0
96	1
97	1
98	1
99	2
100	1
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	1
109	2
110	1
111	1
112	2
113	1
114	1
115	2
116	2
117	1
118	2
119	2
120	2
121	2
122	2
123	2
124	0
125	2
126	0
127	2
128	2
129	2
130	0
131	2
132	2
133	2
134	2
135	2
136	2
137	2
138	0
139	2
140	2
141	0
142	2
143	2
144	1
145	0
146	2
147	2
148	0
149	2
150	2
151	2
152	2
153	0
154	1
155	2
156	2
157	0
158	2
159	1
160	2
161	2
162	2
163	2
164	2
165	2
166	0
167	2
168	2
169	2
170	2
171	1
172	2
173	2
174	2
175	2
176	2
177	0
178	2
179	2
180	2
181	0
182	2
183	2
184	2
185	0
186	0
187	2
188	2
189	2
190	2
191	2
192	2
193	1
194	2
195	2
196	2
197	2
198	2
199	2
200	2
201	2
202	0
203	0
204	2
205	1
206	0
207	2
208	1
209	2
210	1
211	2
212	0
213	2
214	2
215	0
216	2
217	2
218	2
219	2
220	2
221	2
222	2
223	0
224	2
225	0
226	2
227	1
228	1
229	2
230	2
231	2
232	0
233	2
234	2
235	1
236	2
237	2
238	2
239	2
240	2
241	2
242	2
243	2
244	2
245	1
246	0
247	2
248	2
249	2
250	2
251	1
252	2
253	2
254	1
255	1
256	2
257	2
258	0
259	2
260	2
261	2
262	1
263	2
264	2
265	1
266	1
267	2
268	2
269	0
270	2
271	0
272	2
273	2
274	0
275	2
276	2
277	0
278	2
279	2
280	2
281	2
282	0
283	2
284	2
285	0
286	2
287	2
288	2
289	2
290	2
291	0
292	2
293	2
294	2
295	2
296	0
297	2
298	0
299	2
300	2
301	2
302	2
303	2
304	2
305	2
306	2
307	1
308	0
309	2
310	0
311	0
312	0
313	2
314	2
315	1
316	2
317	2
318	1
319	1
320	1
321	2
322	2
323	2
324	0
325	1
326	2
327	1
328	2
329	2
330	2
331	2
332	2
333	2
334	2
335	0
336	2
337	0
338	2
339	2
340	0
341	2
342	0
343	1
344	2
345	2
346	2
347	2
348	0
349	2
350	0
351	2
352	2
353	2
354	2
355	2
356	2
357	2
358	2
359	2
360	2
361	2
362	2
363	2
364	2
365	2
366	0
367	2
368	2
369	2
370	2
371	2
372	1
373	1
374	2
375	2
376	2
377	1
378	2
379	2
380	2
381	1
382	1
383	2
384	0
385	2
386	2
387	2
388	2
389	2
390	2
391	2
392	2
393	2
394	2
395	2
396	2
397	2
398	2
399	2
400	0
401	2
402	2
403	2
404	1
405	2
406	0
407	2
408	2
409	2
410	0
411	2
412	2
413	2
414	2
415	2
416	0
417	2
418	0
419	2
420	2
421	2
422	2
423	0
424	2
425	0
426	0
427	2
428	2
429	0
430	0
431	2
432	1
433	2
434	0
435	0
436	1
437	2
438	0
439	2
440	2
441	2
442	2
443	2
444	2
445	2
446	2
447	0
448	1
449	2
450	2
451	1
452	2
453	2
454	0
455	2
456	0
457	2
458	2
459	0
460	0
461	2
462	1
463	2
464	0
465	0
466	2
467	0
468	2
469	0
470	1
471	2
472	2
473	1
474	2
475	2
476	2
477	0
478	2
479	1
480	2
481	2
482	2
483	2
484	2
485	2
486	2
487	1
488	2
489	2
490	2
491	0
492	0
493	0
494	2
495	2
496	2
497	2
498	2
499	0
500	2
501	2
502	0
503	2
504	0
505	2
506	2
507	2
508	2
509	2
510	2
511	2
512	1
513	2
514	2
515	0
516	2
517	1
518	2
519	0
520	2
521	2
522	2
523	0
524	2
525	2
526	2
527	2
528	2
529	1
530	2
531	2
532	2
533	2
534	0
535	2
536	2
537	2
538	0
539	2
540	2
541	2
542	1
543	1
544	2
545	0
546	2
547	2
548	2
549	0
550	1
551	0
552	2
553	2
554	2
555	1
556	0
557	1
558	1
559	1
560	2
561	1
562	2
563	0
564	0
565	1
566	2
567	2
568	2
569	2
570	2
571	1
572	1
573	2
574	0
575	0
576	2
577	2
578	0
579	2
580	2
581	2
582	1
583	2
584	2
585	2
586	2
587	1
588	2
589	2
590	1
591	0
592	2
593	1
594	2
595	2
596	2
597	2
598	2
599	2
600	2
601	2
602	2
603	0
604	2
605	2
606	0
607	2
608	2
609	2
610	0
611	1
612	2
613	2
614	2
615	2
616	2
617	2
618	2
619	2
620	2
621	2
622	2
623	2
624	0
625	2
626	2
627	2
628	2
629	1
630	0
631	1
632	2
633	0
634	2
635	2
636	2
637	0
638	0
639	2
640	2
641	0
642	2
643	0
644	0
645	0
646	0
647	2
648	2
649	2
650	2
651	2
652	0
653	0
654	2
655	2
656	2
657	2
658	2
659	2
660	0
661	2
662	0
663	2
664	1
665	2
666	2
667	2
668	2
669	2
670	0
671	2
672	2
673	2
674	2
675	0
676	2
677	2
678	2
679	2
680	2
681	1
682	2
683	2
684	2
685	0
686	2
687	2
688	2
689	0
690	2
691	1
692	2
693	2
694	2
695	2
696	2
697	2
698	2
699	2
700	2
701	2
702	2
703	2
704	2
705	2
706	0
707	2
708	2
709	2
710	2
711	2
712	2
713	0
714	2
715	2
716	2
717	2
718	2
719	2
720	0
721	2
722	1
723	2
724	1
725	0
726	2
727	2
728	2
729	2
730	1
731	2
732	2
733	2
734	2
735	2
736	2
737	2
738	2
739	0
740	2
741	2
742	0
743	2
744	2
745	0
746	2
747	2
748	2
749	2
750	2
751	2
752	2
753	2
754	0
755	2
756	2
757	0
758	2
759	0
760	2
761	2
762	2
763	1
764	0
765	2
766	1
767	0
768	2
769	2
770	2
771	2
772	1
773	2
774	0
775	2
776	2
777	2
778	2
779	2
780	2
781	2
782	2
783	2
784	2
785	2
786	2
787	2
788	2
789	2
790	2
791	2
792	2
793	2
794	0
795	2
796	2
797	2
798	2
799	2
800	2
801	2
802	1
803	2
804	2
805	0
806	2
807	2
808	2
809	2
810	2
811	2
812	2
813	2
814	2
815	2
816	2
817	2
818	0
819	2
820	2
821	1
822	2
823	2
824	1
825	2
826	2
827	1
828	2
829	2
830	2
831	2
832	2
833	0
834	2
835	2
836	2
837	2
838	2
839	2
840	0
841	2
842	2
843	2
844	2
845	2
846	2
847	2
848	2
849	2
850	2
851	2
852	2
853	2
854	2
855	2
856	2
857	2
858	0
859	2
860	2
861	2
862	2
863	2
864	1
865	1
866	2
867	2
868	2
869	2
870	2
871	2
872	0
873	0
874	2
875	2
876	2
877	2
878	2
879	0
880	1
881	2
882	2
883	2
884	2
885	2
886	1
887	0
888	2
889	0
890	2
891	0
892	2
893	2
894	2
895	1
896	2
897	2
898	1
899	1
900	2
901	2
902	2
903	2
904	2
905	2
906	2
907	2
908	2
909	0
910	0
911	2
912	2
913	2
914	2
915	2
916	2
917	2
918	0
919	2
920	2
921	2
922	2
923	1
924	2
925	2
926	2
927	0
928	1
929	2
930	2
931	0
932	2
933	2
934	2
935	2
936	2
937	1
938	1
939	2
940	2
941	2
942	2
943	2
944	0
945	2
946	2
947	2
948	2
949	2
950	2
951	0
952	1
953	0
954	0
955	2
956	2
957	2
958	2
959	2
960	2
961	0
962	1
963	2
964	0
965	2
966	2
967	2
968	2
969	2
970	0
971	2
972	2
973	0
974	0
975	1
976	0
977	2
978	2
979	2
980	2
981	2
982	2
983	1
984	1
985	2
986	2
987	2
988	0
989	2
990	2
991	0
992	2
993	2
994	0
995	2
996	0
997	2
998	2
999	2
1000	2
1001	2
1002	2
1003	2
1004	2
1005	1
1006	2
1007	2
1008	0
1009	2
1010	2
1011	2
1012	2
1013	2
1014	2
1015	0
1016	2
1017	2
1018	2
1019	2
1020	2
1021	2
1022	2
1023	2
1024	2
1025	0
1026	0
1027	2
1028	2
1029	2
1030	2
1031	2
1032	0
1033	2
1034	2
1035	2
1036	0
1037	2
1038	2
1039	2
1040	2
1041	2
1042	1
1043	2
1044	0
1045	2
1046	2
1047	2
1048	2
1049	2
1050	0
1051	2
1052	2
1053	2
1054	2
1055	2
1056	2
1057	2
1058	2
1059	2
1060	2
1061	2
1062	2
1063	1
1064	2
1065	2
1066	0
1067	1
1068	0
1069	0
1070	2
1071	1
1072	0
1073	0
1074	0
1075	0
1076	0
1077	0
1078	2
1079	0
1080	0
1081	0
1082	1
1083	0
1084	1
1085	1
1086	1
1087	0
1088	0
1089	0
1090	0
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	0
1098	1
1099	0
1100	0
1101	0
1102	0
1103	0
1104	0
1105	0
1106	0
1107	0
1108	0
1109	0
1110	0
1111	2
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	1
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	2
1127	2
1128	2
1129	0
1130	0
1131	0
1132	2
1133	0
1134	0
1135	0
1136	0
1137	0
1138	0
1139	0
1140	2
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	1
1149	1
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	1
1159	0
1160	0
1161	0
1162	0
1163	2
1164	1
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	1
1172	0
1173	0
1174	2
1175	0
1176	2
1177	0
1178	0
1179	1
1180	2
1181	0
1182	0
1183	0
1184	0
1185	0
1186	0
1187	2
1188	0
1189	0
1190	0
1191	0
1192	0
1193	0
1194	0
1195	0
1196	0
1197	0
1198	0
1199	0
1200	2
1201	0
1202	0
1203	0
1204	1
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	2
1214	0
1215	0
1216	0
1217	0
1218	1
1219	2
1220	0
1221	0
1222	0
1223	0
1224	1
1225	0
1226	0
1227	0
1228	0
1229	2
1230	0
1231	0
1232	0
1233	0
