	classified_sentiment
0	1.0
1	3.0
2	3.0
3	3.0
4	3.0
5	1.0
6	3.0
7	3.0
8	4.0
9	3.0
10	3.0
11	3.0
12	4.0
13	4.0
14	4.0
15	3.0
16	4.0
17	4.0
18	4.0
19	4.0
20	4.0
21	4.0
22	3.0
23	3.0
24	3.0
25	3.0
26	4.0
27	1.0
28	3.0
29	4.0
30	4.0
31	2.0
32	3.0
33	3.0
34	1.0
35	3.0
36	3.0
37	4.0
38	3.0
39	2.0
40	3.0
41	0.0
42	3.0
43	3.0
44	3.0
45	4.0
46	4.0
47	4.0
48	4.0
49	3.0
50	4.0
51	3.0
52	3.0
53	3.0
54	3.0
55	3.0
56	3.0
57	1.0
58	3.0
59	4.0
60	2.0
61	3.0
62	3.0
63	1.0
64	3.0
65	3.0
66	3.0
67	4.0
68	4.0
69	3.0
70	3.0
71	4.0
72	4.0
73	3.0
74	3.0
75	2.0
76	4.0
77	3.0
78	4.0
79	3.0
80	0.0
81	3.0
82	4.0
83	3.0
84	3.0
85	3.0
86	3.0
87	4.0
88	3.0
89	3.0
90	3.0
91	3.0
92	2.0
93	3.0
94	3.0
95	3.0
96	2.0
97	4.0
98	3.0
99	3.0
100	3.0
101	3.0
102	3.0
103	3.0
104	3.0
105	3.0
106	4.0
107	3.0
108	3.0
109	3.0
110	3.0
111	3.0
112	4.0
113	3.0
114	2.0
115	3.0
116	4.0
117	2.0
118	3.0
119	3.0
120	4.0
121	3.0
122	4.0
123	3.0
124	1.0
125	2.0
126	2.0
127	4.0
128	4.0
129	3.0
130	2.0
131	3.0
132	3.0
133	3.0
134	4.0
135	4.0
136	4.0
137	3.0
138	1.0
139	3.0
140	2.0
141	1.0
142	3.0
143	3.0
144	3.0
145	3.0
146	3.0
147	3.0
148	3.0
149	4.0
150	3.0
151	3.0
152	3.0
153	1.0
154	3.0
155	4.0
156	3.0
157	1.0
158	3.0
159	
160	3.0
161	3.0
162	4.0
163	3.0
164	3.0
165	4.0
166	3.0
167	4.0
168	3.0
169	3.0
170	3.0
171	2.0
172	4.0
173	3.0
174	4.0
175	4.0
176	3.0
177	1.0
178	4.0
179	4.0
180	3.0
181	0.0
182	4.0
183	3.0
184	3.0
185	1.0
186	3.0
187	3.0
188	4.0
189	4.0
190	4.0
191	4.0
192	3.0
193	2.0
194	4.0
195	3.0
196	3.0
197	3.0
198	4.0
199	4.0
200	3.0
201	3.0
202	2.0
203	3.0
204	3.0
205	3.0
206	3.0
207	3.0
208	2.0
209	3.0
210	3.0
211	4.0
212	0.0
213	3.0
214	3.0
215	2.0
216	4.0
217	3.0
218	3.0
219	4.0
220	3.0
221	3.0
222	4.0
223	2.0
224	3.0
225	3.0
226	1.0
227	1.0
228	4.0
229	4.0
230	3.0
231	4.0
232	4.0
233	4.0
234	4.0
235	1.0
236	4.0
237	3.0
238	3.0
239	4.0
240	4.0
241	3.0
242	3.0
243	1.0
244	3.0
245	3.0
246	2.0
247	3.0
248	4.0
249	3.0
250	4.0
251	3.0
252	4.0
253	4.0
254	0.0
255	3.0
256	4.0
257	3.0
258	4.0
259	3.0
260	4.0
261	2.0
262	4.0
263	3.0
264	2.0
265	1.0
266	2.0
267	4.0
268	3.0
269	4.0
270	3.0
271	1.0
272	3.0
273	4.0
274	3.0
275	3.0
276	3.0
277	1.0
278	3.0
279	3.0
280	2.0
281	4.0
282	1.0
283	4.0
284	4.0
285	3.0
286	4.0
287	3.0
288	3.0
289	3.0
290	3.0
291	2.0
292	3.0
293	3.0
294	3.0
295	3.0
296	1.0
297	3.0
298	3.0
299	3.0
300	4.0
301	3.0
302	4.0
303	4.0
304	3.0
305	3.0
306	2.0
307	2.0
308	3.0
309	4.0
310	3.0
311	2.0
312	3.0
313	3.0
314	3.0
315	1.0
316	3.0
317	3.0
318	2.0
319	3.0
320	2.0
321	2.0
322	4.0
323	3.0
324	2.0
325	3.0
326	4.0
327	3.0
328	3.0
329	4.0
330	4.0
331	3.0
332	4.0
333	4.0
334	3.0
335	3.0
336	4.0
337	1.0
338	3.0
339	3.0
340	2.0
341	4.0
342	3.0
343	3.0
344	2.0
345	4.0
346	3.0
347	3.0
348	2.0
349	3.0
350	3.0
351	3.0
352	3.0
353	3.0
354	3.0
355	4.0
356	3.0
357	2.0
358	4.0
359	3.0
360	4.0
361	3.0
362	3.0
363	4.0
364	3.0
365	3.0
366	3.0
367	3.0
368	3.0
369	3.0
370	3.0
371	4.0
372	2.0
373	2.0
374	3.0
375	4.0
376	3.0
377	
378	3.0
379	3.0
380	4.0
381	3.0
382	4.0
383	3.0
384	3.0
385	3.0
386	3.0
387	4.0
388	4.0
389	3.0
390	4.0
391	3.0
392	3.0
393	4.0
394	3.0
395	3.0
396	4.0
397	3.0
398	4.0
399	3.0
400	3.0
401	2.0
402	3.0
403	3.0
404	2.0
405	3.0
406	0.0
407	3.0
408	3.0
409	4.0
410	3.0
411	4.0
412	3.0
413	4.0
414	3.0
415	4.0
416	3.0
417	4.0
418	1.0
419	3.0
420	4.0
421	4.0
422	3.0
423	1.0
424	3.0
425	4.0
426	3.0
427	3.0
428	3.0
429	3.0
430	3.0
431	4.0
432	3.0
433	3.0
434	3.0
435	4.0
436	3.0
437	4.0
438	1.0
439	3.0
440	3.0
441	4.0
442	3.0
443	4.0
444	4.0
445	3.0
446	3.0
447	3.0
448	3.0
449	4.0
450	4.0
451	2.0
452	3.0
453	4.0
454	1.0
455	3.0
456	3.0
457	3.0
458	4.0
459	4.0
460	4.0
461	4.0
462	4.0
463	3.0
464	3.0
465	0.0
466	4.0
467	3.0
468	3.0
469	2.0
470	3.0
471	3.0
472	3.0
473	2.0
474	3.0
475	3.0
476	4.0
477	3.0
478	4.0
479	4.0
480	3.0
481	3.0
482	4.0
483	3.0
484	3.0
485	4.0
486	3.0
487	4.0
488	4.0
489	4.0
490	3.0
491	3.0
492	1.0
493	3.0
494	3.0
495	4.0
496	4.0
497	4.0
498	3.0
499	3.0
500	3.0
501	3.0
502	3.0
503	4.0
504	3.0
505	3.0
506	3.0
507	4.0
508	4.0
509	4.0
510	4.0
511	3.0
512	3.0
513	3.0
514	3.0
515	3.0
516	3.0
517	3.0
518	3.0
519	3.0
520	4.0
521	3.0
522	3.0
523	0.0
524	4.0
525	3.0
526	3.0
527	3.0
528	3.0
529	3.0
530	3.0
531	3.0
532	3.0
533	4.0
534	1.0
535	3.0
536	4.0
537	4.0
538	3.0
539	4.0
540	4.0
541	3.0
542	3.0
543	4.0
544	3.0
545	3.0
546	3.0
547	3.0
548	3.0
549	3.0
550	2.0
551	1.0
552	3.0
553	4.0
554	4.0
555	2.0
556	3.0
557	1.0
558	2.0
559	3.0
560	3.0
561	3.0
562	3.0
563	3.0
564	1.0
565	3.0
566	3.0
567	3.0
568	1.0
569	4.0
570	3.0
571	3.0
572	3.0
573	4.0
574	1.0
575	3.0
576	3.0
577	3.0
578	1.0
579	3.0
580	4.0
581	4.0
582	1.0
583	4.0
584	3.0
585	3.0
586	3.0
587	2.0
588	3.0
589	4.0
590	2.0
591	0.0
592	3.0
593	3.0
594	4.0
595	4.0
596	4.0
597	4.0
598	3.0
599	3.0
600	3.0
601	3.0
602	3.0
603	4.0
604	4.0
605	4.0
606	4.0
607	4.0
608	4.0
609	4.0
610	3.0
611	2.0
612	3.0
613	3.0
614	3.0
615	3.0
616	4.0
617	3.0
618	3.0
619	4.0
620	3.0
621	3.0
622	3.0
623	3.0
624	1.0
625	2.0
626	3.0
627	3.0
628	3.0
629	2.0
630	2.0
631	3.0
632	3.0
633	1.0
634	3.0
635	4.0
636	4.0
637	3.0
638	2.0
639	4.0
640	2.0
641	0.0
642	4.0
643	3.0
644	1.0
645	1.0
646	1.0
647	4.0
648	3.0
649	3.0
650	4.0
651	2.0
652	2.0
653	3.0
654	3.0
655	3.0
656	4.0
657	3.0
658	4.0
659	4.0
660	1.0
661	4.0
662	2.0
663	4.0
664	0.0
665	4.0
666	3.0
667	3.0
668	3.0
669	3.0
670	3.0
671	3.0
672	4.0
673	3.0
674	3.0
675	3.0
676	4.0
677	3.0
678	4.0
679	3.0
680	4.0
681	3.0
682	4.0
683	3.0
684	4.0
685	1.0
686	4.0
687	3.0
688	3.0
689	3.0
690	3.0
691	3.0
692	4.0
693	3.0
694	3.0
695	3.0
696	3.0
697	4.0
698	3.0
699	4.0
700	3.0
701	3.0
702	3.0
703	4.0
704	4.0
705	3.0
706	1.0
707	3.0
708	4.0
709	4.0
710	3.0
711	3.0
712	3.0
713	1.0
714	3.0
715	3.0
716	3.0
717	4.0
718	3.0
719	3.0
720	3.0
721	4.0
722	3.0
723	3.0
724	3.0
725	3.0
726	3.0
727	4.0
728	4.0
729	3.0
730	3.0
731	4.0
732	4.0
733	3.0
734	4.0
735	3.0
736	3.0
737	3.0
738	3.0
739	3.0
740	3.0
741	3.0
742	3.0
743	4.0
744	4.0
745	1.0
746	4.0
747	3.0
748	4.0
749	3.0
750	3.0
751	3.0
752	4.0
753	4.0
754	3.0
755	3.0
756	3.0
757	2.0
758	3.0
759	3.0
760	3.0
761	3.0
762	4.0
763	1.0
764	2.0
765	3.0
766	4.0
767	3.0
768	3.0
769	3.0
770	3.0
771	3.0
772	3.0
773	3.0
774	1.0
775	3.0
776	4.0
777	3.0
778	4.0
779	4.0
780	3.0
781	2.0
782	4.0
783	4.0
784	4.0
785	4.0
786	2.0
787	4.0
788	4.0
789	4.0
790	4.0
791	3.0
792	3.0
793	4.0
794	3.0
795	3.0
796	3.0
797	4.0
798	3.0
799	4.0
800	3.0
801	3.0
802	3.0
803	3.0
804	4.0
805	3.0
806	4.0
807	4.0
808	3.0
809	3.0
810	2.0
811	4.0
812	4.0
813	4.0
814	3.0
815	3.0
816	2.0
817	3.0
818	3.0
819	4.0
820	3.0
821	3.0
822	3.0
823	3.0
824	3.0
825	3.0
826	2.0
827	4.0
828	3.0
829	4.0
830	4.0
831	3.0
832	4.0
833	3.0
834	4.0
835	3.0
836	3.0
837	3.0
838	3.0
839	4.0
840	1.0
841	3.0
842	4.0
843	3.0
844	3.0
845	3.0
846	3.0
847	4.0
848	3.0
849	4.0
850	3.0
851	4.0
852	3.0
853	3.0
854	4.0
855	3.0
856	4.0
857	3.0
858	2.0
859	3.0
860	2.0
861	4.0
862	2.0
863	3.0
864	2.0
865	2.0
866	3.0
867	4.0
868	4.0
869	4.0
870	3.0
871	3.0
872	3.0
873	4.0
874	4.0
875	3.0
876	4.0
877	3.0
878	2.0
879	1.0
880	2.0
881	4.0
882	4.0
883	3.0
884	3.0
885	4.0
886	2.0
887	3.0
888	3.0
889	3.0
890	3.0
891	2.0
892	3.0
893	3.0
894	3.0
895	3.0
896	3.0
897	3.0
898	3.0
899	2.0
900	3.0
901	3.0
902	3.0
903	3.0
904	3.0
905	4.0
906	3.0
907	3.0
908	3.0
909	2.0
910	3.0
911	4.0
912	3.0
913	3.0
914	4.0
915	3.0
916	3.0
917	4.0
918	0.0
919	3.0
920	3.0
921	3.0
922	3.0
923	3.0
924	4.0
925	3.0
926	3.0
927	3.0
928	3.0
929	4.0
930	3.0
931	0.0
932	3.0
933	4.0
934	4.0
935	4.0
936	3.0
937	3.0
938	2.0
939	3.0
940	3.0
941	4.0
942	4.0
943	3.0
944	1.0
945	4.0
946	4.0
947	4.0
948	3.0
949	3.0
950	4.0
951	3.0
952	3.0
953	1.0
954	0.0
955	3.0
956	3.0
957	3.0
958	4.0
959	3.0
960	4.0
961	1.0
962	3.0
963	3.0
964	1.0
965	3.0
966	3.0
967	4.0
968	3.0
969	4.0
970	4.0
971	4.0
972	3.0
973	3.0
974	3.0
975	3.0
976	2.0
977	4.0
978	4.0
979	4.0
980	4.0
981	3.0
982	4.0
983	2.0
984	2.0
985	4.0
986	3.0
987	4.0
988	2.0
989	3.0
990	4.0
991	3.0
992	4.0
993	3.0
994	2.0
995	3.0
996	0.0
997	4.0
998	3.0
999	2.0
1000	3.0
1001	3.0
1002	4.0
1003	3.0
1004	3.0
1005	3.0
1006	3.0
1007	4.0
1008	0.0
1009	4.0
1010	3.0
1011	4.0
1012	3.0
1013	3.0
1014	3.0
1015	1.0
1016	3.0
1017	4.0
1018	3.0
1019	4.0
1020	4.0
1021	3.0
1022	3.0
1023	4.0
1024	3.0
1025	1.0
1026	2.0
1027	4.0
1028	3.0
1029	4.0
1030	4.0
1031	
1032	1.0
1033	3.0
1034	4.0
1035	3.0
1036	1.0
1037	3.0
1038	4.0
1039	4.0
1040	3.0
1041	3.0
1042	2.0
1043	3.0
1044	3.0
1045	2.0
